episode,step,reward,done,actual_category,predicted_category,expected_severity,line_distance
1,1,-0.2,False,insecure_random,insecure_random,medium,8
1,2,1.3,True,insecure_random,insecure_random,medium,0
2,1,0.1,False,off_by_one,insecure_random,medium,4
2,2,0.1,True,off_by_one,insecure_random,medium,5
3,1,0.2,False,sql_injection,insecure_random,critical,4
3,2,0.7,True,sql_injection,insecure_random,critical,7
4,1,0.1,False,off_by_one,insecure_random,medium,6
4,2,0.5,True,off_by_one,insecure_random,medium,1
5,1,-0.3,False,hardcoded_secret,insecure_random,critical,7
5,2,0.6,True,hardcoded_secret,insecure_random,critical,1
6,1,0.7,False,sql_injection,insecure_random,critical,7
6,2,0.2,True,sql_injection,insecure_random,critical,8
7,1,-0.4,False,logic_bug,insecure_random,medium,7
7,2,0.6,True,logic_bug,insecure_random,medium,6
8,1,0.1,False,logic_bug,insecure_random,medium,3
8,2,0.1,True,logic_bug,insecure_random,medium,3
9,1,0.7,False,xss,insecure_random,critical,5
9,2,0.2,True,xss,insecure_random,critical,4
10,1,1.1,False,xss,insecure_random,critical,1
10,2,0.2,True,xss,insecure_random,critical,7
11,1,0.7,False,sql_injection,insecure_random,critical,6
11,2,0.2,True,sql_injection,insecure_random,critical,3
12,1,0.2,False,xss,insecure_random,critical,4
12,2,0.6,True,xss,insecure_random,critical,1
13,1,0.1,False,logic_bug,insecure_random,medium,6
13,2,1.6,True,logic_bug,insecure_random,medium,0
14,1,1.1,False,sql_injection,insecure_random,critical,1
14,2,0.2,True,sql_injection,insecure_random,critical,6
15,1,0.7,False,xss,insecure_random,critical,4
15,2,0.2,True,xss,insecure_random,critical,4
16,1,1.3,True,insecure_random,insecure_random,medium,0
17,1,0.6,False,sql_injection,insecure_random,critical,1
17,2,1.1,True,sql_injection,insecure_random,critical,1
18,1,0.6,False,off_by_one,insecure_random,medium,4
18,2,0.5,True,off_by_one,insecure_random,medium,1
19,1,0.9,False,path_traversal,insecure_random,critical,7
19,2,0.4,True,path_traversal,insecure_random,critical,7
20,1,0.5,False,logic_bug,insecure_random,style,1
20,2,1.0,True,logic_bug,insecure_random,style,1
21,1,0.6,False,missing_auth,insecure_random,critical,1
21,2,0.2,True,missing_auth,insecure_random,critical,8
22,1,0.2,False,xss,insecure_random,critical,3
22,2,0.7,True,xss,insecure_random,critical,3
23,1,0.6,False,xss,insecure_random,critical,1
23,2,0.2,True,xss,insecure_random,critical,6
24,1,0.2,False,integer_overflow,insecure_random,medium,4
24,2,0.2,True,integer_overflow,insecure_random,medium,3
25,1,0.7,False,sql_injection,insecure_random,critical,4
25,2,0.7,False,sql_injection,insecure_random,critical,3
25,3,0.6,True,sql_injection,insecure_random,critical,1
26,1,0.7,False,null_dereference,insecure_random,medium,4
26,2,0.2,True,null_dereference,insecure_random,medium,6
27,1,0.5,False,logic_bug,insecure_random,medium,1
27,2,-0.4,True,logic_bug,insecure_random,medium,7
28,1,0.5,False,null_dereference,insecure_random,medium,1
28,2,0.5,False,null_dereference,insecure_random,medium,1
28,3,1.6,True,null_dereference,insecure_random,medium,0
29,1,0.1,False,logic_bug,insecure_random,style,7
29,2,1.0,True,logic_bug,insecure_random,style,1
30,1,-0.9,True,clean,insecure_random,style,-1
